game_id,player_id,team_id,opponent_team_id,minutes,off_poss,def_poss,drives,drive_fgm,drive_fga,drive_ftm,drive_fta,drive_points,drive_passes,drive_assists,drive_turnovers,drive_fouls,passes_made,passes_received,assists,ft_assists,secondary_assists,potential_assists,adj_assists,assist_pts,steals,blocks,def_rim_fgm,def_rim_fga,touches,front_court_touches,time_of_poss,seconds_per_touch,dribbles_per_touch,elbow_touches,elbow_touch_fgm,elbow_touch_fga,elbow_touch_ftm,elbow_touch_fta,elbow_touch_points,elbow_touch_passes,elbow_touch_assists,elbow_touch_turnovers,elbow_touch_fouls,paint_touches,paint_touch_fgm,paint_touch_fga,paint_touch_ftm,paint_touch_fta,paint_touch_points,paint_touch_passes,paint_touch_assists,paint_touch_turnovers,paint_touch_fouls,post_touches,post_touch_fgm,post_touch_fga,post_touch_ftm,post_touch_fta,post_touch_points,post_touch_passes,post_touch_assists,post_touch_turnovers,post_touch_fouls,oreb,oreb_contest,oreb_uncontest,oreb_chances,oreb_chance_defer,dreb,dreb_contest,dreb_uncontest,dreb_chances,dreb_chance_defer,feet,miles,miles_off,miles_def,avg_speed,avg_speed_off,avg_speed_def
0041900122,1629003,1610612755,1610612738,29.28,57,58,7,2,2,1,2,6,4,1,0,1,42,47,4,0,0,5,4,9,0,0,1,1,53,18,5.4,6.1,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,1,11220,2.13,1.15,0.97,4.1,4.49,4.08
0041900122,1629057,1610612738,1610612755,6.9,16,16,0,0,0,0,0,0,0,0,0,0,6,6,2,0,0,2,2,5,0,0,0,0,7,6,0.1,0.94,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,2770,0.52,0.3,0.22,4.0,4.39,3.55
0041900122,1629605,1610612738,1610612755,2.82,6,6,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,4,3,0.1,1.83,0.25,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,2,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,2,0,939,0.18,0.09,0.09,3.81,3.45,4.25
0041900122,1629641,1610612738,1610612755,22.78,46,46,2,0,1,0,0,0,0,0,1,0,10,12,0,0,0,2,0,0,1,0,1,2,17,9,1.3,4.54,4.41,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,5,1,8971,1.7,0.91,0.79,4.22,4.47,3.98
0041900122,1629680,1610612755,1610612738,24.67,48,48,0,0,0,0,0,0,0,0,0,0,10,8,1,0,0,1,1,2,0,0,1,1,14,7,0.3,1.18,0.21,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,10253,1.94,0.97,0.97,4.36,4.4,4.8
0041900122,1629684,1610612738,1610612755,20.6,37,40,0,0,0,0,0,0,0,0,0,0,16,11,2,0,0,4,2,6,0,1,3,3,20,11,0.4,1.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,2,4,7,0,7886,1.49,0.82,0.68,4.16,4.78,3.63
0041900122,1629750,1610612738,1610612755,5.65,13,13,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,8,3,0.4,2.82,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2114,0.4,0.22,0.19,3.93,3.68,4.22
0041900123,201143,1610612755,1610612738,37.87,81,80,1,0,0,0,0,0,1,0,0,0,49,41,0,1,1,12,2,3,1,2,2,4,59,39,1.6,1.62,0.53,6,0,1,1,2,1,4,0,0,0,7,1,3,0,0,2,3,0,0,0,8,1,2,3,4,5,4,0,0,2,3,2,1,9,0,7,2,4,14,1,14800,2.8,1.53,1.28,4.12,4.06,4.18
0041900123,202683,1610612738,1610612755,14.37,29,31,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,1,2,16,9,0.3,1.24,0.25,2,1,2,0,0,2,0,0,0,0,2,1,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,3,0,5,3,2,6,0,5348,1.01,0.52,0.49,3.87,4.17,3.62
0041900123,202689,1610612738,1610612755,35.17,74,75,5,2,2,0,0,4,2,0,1,0,38,43,4,3,0,11,7,15,2,1,1,2,62,12,6.3,6.05,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,7,3,4,10,0,13969,2.65,1.41,1.23,4.09,4.79,3.49
